>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月11日0时0分0秒->2022年4月11日23时59分30秒
>>>>>>>>>>>>>> 测站 :KNTN
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
1.23890                 -1.07414                 -4.87681
-0.85403                 -0.16666                 -6.29948
0.03599                 -1.22009                 -7.84253
1.52911                 -1.95626                 -5.45440
0.08267                 -1.39068                 -4.49248
-0.43943                 -1.53983                 -4.48576
0.28616                 -0.48716                 -5.07927
2.19984                 -2.85455                 -7.23040
1.05466                 -2.18026                 -4.07906
0.67136                 -1.24255                 -5.66375
0.37975                 -1.15233                 -4.37234
1.07746                 -1.06096                 -5.63150
1.21733                 -1.93291                 -6.88535
1.36835                 -2.33001                 -6.00710
0.77903                 -1.56489                 -5.48496
1.07679                 -1.97340                 -7.09324
1.07572                 -1.42221                 -5.43803
2.20704                 -1.03562                 -8.04334
1.49870                 -1.56013                 -6.57330
0.85945                 -1.67574                 -5.80902
0.76466                 -1.26338                 -6.68868
1.72779                 -1.93273                 -6.55269
1.10160                 -1.70235                 -6.46502
0.30554                 -0.83103                 -5.16571
0.17086                 -0.60008                 -4.67509
0.09183                 -0.54363                 -4.79013
0.14102                 -0.70691                 -5.39789
0.46312                 -1.29004                 -2.94660
0.48448                 -1.28064                 -5.17703
-0.13172                 -1.84635                 -5.48602
0.83005                 -0.90520                 -5.42104
1.27404                 -1.71068                 -5.84642
1.69776                 -1.77016                 -4.88356
0.49492                 -2.24502                 -5.36388
0.41583                 -1.30242                 -4.48019
1.12863                 -2.36616                 -6.75953
2.24509                 -2.38319                 -6.72760
1.28641                 -1.59879                 -7.95297
-1.11333                 -0.48964                 -2.68935
0.41001                 -1.66204                 -4.98137
1.06700                 -1.66716                 -4.85806
0.10781                 -1.68987                 -4.37346
1.23438                 -2.02921                 -7.20375
0.76201                 -2.53304                 -4.25827
-0.01297                 -0.37419                 -3.65002
1.35557                 -2.23709                 -5.74852
0.78882                 -1.75608                 -3.96241
0.43660                 -1.07027                 -3.40317
1.52091                 -2.17129                 -5.50187
1.34238                 -1.31387                 -4.38681
-1.29774                 -0.05192                 -3.45339
-0.30586                 -1.40255                 -2.24349
0.81474                 -1.70976                 -5.20998
-0.81837                 -0.13879                 -3.40469
0.60454                 -1.63670                 -4.03254
0.81552                 -2.22797                 -2.77657
-0.44523                 -1.24606                 -5.36424
0.50922                 -1.07954                 -3.80545
0.13191                 -0.54628                 -4.93175
0.73402                 -0.52679                 -6.35121
-0.00701                 -1.32954                 -3.26653
1.03683                 -1.87387                 -5.00527
0.88166                 -0.81990                 -4.85054
-0.20487                 -1.42600                 -3.83876
-0.01037                 -1.36852                 -6.34708
-1.22068                 -0.29028                 -1.83139
0.17720                 -0.92688                 -3.81894
0.50059                 -1.78461                 -3.24324
0.54748                 -1.16268                 -2.45657
-0.14135                 -0.83850                 -3.26066
0.52343                 -1.08586                 -1.54207
0.47282                 -0.53964                 -4.88635
0.03749                 -0.77562                 -3.26556
-0.45773                 -1.17647                 -2.50718
0.26045                 -0.65861                 -3.27594
0.04067                 -0.61408                 -2.32314
-0.29618                 -0.31232                 -4.74355
-0.32763                  0.34792                 -3.22171
-0.75860                 -0.64893                 -2.57713
