>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月12日0时0分0秒->2022年4月12日23时59分30秒
>>>>>>>>>>>>>> 测站 :KNTN
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-1.51552                 -1.48588                  1.84135
-0.79660                 -2.83605                  3.81681
-1.47694                 -2.59107                  4.53241
-0.76347                 -1.93412                  3.34809
-2.12084                 -1.79096                  1.94528
-0.61555                 -1.42830                  3.71693
-1.09069                 -0.08843                  1.68258
-1.67822                 -2.22364                  3.61703
-1.97578                 -2.79134                  5.21862
-1.90667                 -2.56438                  3.51558
-1.51320                  0.18766                  1.08370
-2.04380                 -2.68238                  3.27918
-1.16793                 -3.56744                  6.05521
-1.22895                 -2.26359                  2.95342
-1.19179                 -2.15567                  3.42811
-1.18687                 -1.33460                  2.94575
-0.98099                 -2.18510                  1.02013
-1.55823                 -2.14702                  2.83456
-2.05407                 -2.12069                  3.64961
-1.31755                 -2.46131                  4.09763
-1.66706                 -2.37107                  4.57864
-1.54116                 -0.84740                  1.45674
-1.31367                 -2.69461                  4.78299
-1.73732                 -1.56337                  1.09357
-1.59027                 -1.79896                  3.46160
-0.46693                 -1.10743                  3.04148
-1.73023                 -1.79314                  2.86954
-1.62186                 -0.26609                  0.97683
-1.08423                 -0.76089                  1.06186
-0.71629                  0.23334                  0.98124
-0.81757                 -0.44408                  0.65803
-1.47273                 -1.20797                  4.14293
-0.92062                 -1.76031                  3.02529
-1.33720                 -1.16786                  2.76195
-1.35514                 -1.45392                  3.26941
-1.10226                 -0.69725                  3.88632
-1.87784                 -1.91462                  2.81258
-1.30951                 -0.43365                 -0.60447
-0.83117                 -1.48106                  2.91037
-0.96901                 -1.75990                  0.69678
-1.37095                 -1.62825                  3.49870
-1.77522                 -1.08383                  2.24844
-0.77263                 -0.78684                  2.81701
-1.54922                 -0.90862                  2.44996
-2.14223                 -0.68526                 -0.10092
-1.64104                 -1.12074                 -0.32468
-1.27746                 -1.29728                  2.24912
-1.22354                 -1.89727                  3.65321
-0.75794                 -0.97540                  2.50380
-1.98535                 -1.29347                  1.92024
-0.68610                 -0.13059                  0.78338
-1.54596                 -0.57887                  2.16893
-1.56060                  0.03619                  2.44100
-1.17502                 -0.89406                  2.32075
-1.26262                 -0.55442                  0.63025
-1.33075                 -0.78788                  2.32264
-1.28862                 -1.35589                  1.45695
-1.00094                 -1.06084                  2.77266
-1.35430                 -0.75770                  0.07267
-1.44597                 -1.25179                  3.18937
-1.16184                 -1.30661                  1.90671
-1.49973                 -0.49588                  2.21378
-1.85438                 -0.85885                  2.33897
-0.46544                 -0.80949                  0.84987
-0.16671                 -0.99069                  3.00028
-1.10868                 -1.29709                  0.82201
-0.73125                 -1.75542                  0.98339
-1.33957                 -0.89048                  0.77506
-0.63394                 -1.01961                  1.57864
-0.64330                 -0.83392                  2.79309
-0.80577                 -0.67321                  3.15666
-1.76445                 -1.14298                 -0.60054
-0.37200                  0.09031                  1.63191
-0.54773                 -0.92477                  2.60952
-1.56209                 -0.74552                  1.71838
-0.84441                 -0.40876                  0.90624
-0.86958                 -0.37296                  1.12198
-0.94116                  0.29025                  1.91162
-0.64667                 -0.71434                  1.80430
-1.45954                  0.01025                  0.62180
-1.46378                 -0.83656                  3.33004
-1.09450                 -0.43480                  1.08309
-1.54801                 -0.82877                  1.82967
-0.52010                 -0.92473                  3.80309
-0.69026                 -1.19224                  0.73929
-0.67958                 -1.27395                  3.71083
-0.87494                 -0.76985                  1.20440
-1.31900                 -0.85825                  2.52291
-0.50912                 -0.72566                  4.09342
-0.85697                 -0.61671                  2.24889
-0.19839                 -0.95827                  3.54692
-1.04977                 -0.66641                  2.65108
-0.81531                 -0.96552                  2.21042
-1.55265                 -0.34873                  3.62488
-1.06557                 -0.28535                  3.06660
-0.68034                 -0.09699                  2.05464
-1.27952                 -1.06765                  2.59263
-1.26243                 -0.36395                  2.56264
-0.80597                 -0.26726                  1.84589
-1.05141                  0.09036                  1.88985
-1.05396                 -0.60254                  1.81226
-1.41107                 -0.68410                  1.61267
-1.99668                 -1.02445                  3.16164
-1.11282                 -0.58175                  0.87931
-0.43901                 -0.40106                  1.88640
-1.06450                 -0.53969                  2.88505
-0.82469                  0.26217                 -0.45727
-0.57471                 -0.35581                  3.60037
-1.64039                 -0.52003                  1.79774
-0.68916                 -0.64681                  0.29851
-0.59733                 -0.26773                  2.04224
-0.69667                  0.56717                  3.32133
-1.16183                  0.31810                  3.58041
-0.76927                  0.20457                 -0.07468
-1.24213                 -0.09855                  3.40085
-0.36415                 -0.98742                  3.33391
0.08362                  0.59320                  3.26619
-1.54576                 -1.12417                  2.52210
-0.82189                 -0.09461                  1.58155
-1.00863                 -0.60187                 -0.58857
-1.55964                  0.25818                  3.16524
-0.79032                  0.03473                  3.24722
-1.76813                 -0.84680                  3.46455
-0.72854                  0.00478                  0.84410
-1.16467                 -0.01798                  3.76475
-1.13379                 -0.43921                  3.26892
-0.47451                 -0.13082                  1.04933
-1.21180                 -0.26804                  1.64853
-1.79034                 -0.42595                  2.93569
-1.02381                  0.42779                  2.29744
-1.15331                 -0.56623                  1.86631
-1.37394                 -0.62113                  1.82139
-1.31321                 -0.36461                  1.22391
-0.83052                 -1.28657                 -0.59332
-2.08771                  0.16583                  2.46210
-0.66275                 -0.72673                  4.56483
-0.91078                  0.57749                  5.98340
-0.76282                 -0.03858                  2.31776
-0.86193                 -0.17555                  0.51390
-1.54382                  0.05737                  5.27049
-0.71552                  0.19425                  1.56930
-0.53798                  0.19809                  0.96137
-1.40381                  0.26051                  4.89034
-0.73797                 -0.08977                  4.12953
-1.20194                 -0.12717                  1.44172
-1.47645                 -0.29560                  2.02910
-0.75930                  0.65945                  3.71470
-0.91882                  0.18499                  2.51570
-0.62829                  0.77272                  3.00456
-0.61744                 -0.16139                  1.18441
-1.18247                 -0.48719                  2.80305
-1.14864                 -0.15421                  1.53898
-0.55238                  0.37976                  1.21719
-1.11356                  0.81319                  3.71869
-1.42349                 -0.84336                  2.26547
-0.87805                  0.19941                  1.39412
-0.48515                  0.21969                  1.02245
-1.67321                  0.03038                  1.62362
-0.93528                  0.77674                  3.72203
-0.60806                  0.41265                  3.71534
-1.26985                  0.84078                  3.56532
-1.40604                  0.44643                  1.17450
-1.15694                  0.81591                  2.43634
-0.98207                  0.38050                  3.56389
-1.17067                  0.46309                  2.23658
-1.13905                 -0.17211                  1.62641
-1.32452                  0.16105                  2.38030
-1.21050                  1.28420                  4.37559
-0.75456                  0.21830                  0.98051
-1.10794                  0.57887                  3.26997
-0.44312                 -0.51086                 -0.98715
-0.66661                 -0.73160                  3.68133
-0.58607                  0.62190                  3.99218
-0.89022                  0.29641                  2.30032
-0.31900                  0.08877                  1.51230
-0.60263                  0.98695                  3.81922
-1.60918                  1.82615                  4.82789
-1.08475                 -0.50012                  2.89230
-0.06145                  0.54596                  4.32243
-0.89051                  0.23517                  0.18843
-0.77692                  0.84275                  4.03406
-1.40702                  0.18286                  4.14343
-0.43552                  0.36893                  0.05293
-1.12628                  0.91671                  2.84903
-1.68760                  1.49967                  2.74488
-1.81992                  0.44339                  3.33270
-1.38000                  1.76352                  2.77249
-0.66051                  0.69567                  1.00293
-1.35890                  2.19319                  3.40702
-1.42258                  0.59583                 -0.03268
-1.42436                  2.12987                  4.86476
-1.40103                  1.25618                  2.72987
-0.99467                  0.72821                  1.23862
-1.05468                  0.66202                  2.40297
-1.38038                  1.12470                  1.55978
-1.32763                  1.47911                  1.36295
-1.77500                  1.26490                  1.68813
-1.15800                  1.23383                  3.17808
-2.33713                  0.68632                  1.60515
