>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月10日0时0分0秒->2022年4月10日23时59分30秒
>>>>>>>>>>>>>> 测站 :KNTN
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.10205                 -0.22065                 -2.00869
0.03123                  0.28852                 -5.05695
1.35346                 -2.44078                 -6.45462
0.57485                 -1.65617                 -4.33407
1.52660                 -2.74538                 -5.40829
2.07832                 -3.10491                 -6.04207
0.30444                 -1.01775                 -6.01469
0.75645                 -2.25903                 -5.86797
0.89523                 -2.70393                 -4.54487
-0.67009                 -1.33251                 -6.34170
0.58640                 -2.04873                 -5.09780
1.33464                 -2.14431                 -5.99686
1.12501                 -2.45744                 -5.27172
0.20548                 -2.12427                 -5.55151
0.45434                 -2.59011                 -6.29622
1.79130                 -2.94929                 -4.67430
0.84466                 -2.84720                 -7.01411
0.36155                 -2.08816                 -6.47261
0.31728                 -1.79027                 -5.35579
0.12799                 -1.99713                 -4.73098
0.01924                 -1.23382                 -5.79534
0.38804                 -2.52839                 -4.61423
0.01403                 -1.56184                 -5.12650
0.77592                 -2.37048                 -7.18619
0.86000                 -3.07932                 -7.52206
1.09990                 -3.07972                 -6.78360
1.03540                 -2.51262                 -5.91473
0.20971                 -2.27447                 -3.11857
1.20874                 -2.66381                 -5.64846
1.87399                 -1.69139                 -6.17740
-0.16434                 -2.99763                 -4.52590
1.03854                 -1.71444                 -4.45409
0.36002                 -3.09949                 -3.42763
1.00333                 -1.95366                 -5.37574
1.25766                 -2.45612                 -6.26626
0.55145                 -1.94542                 -4.82207
0.17692                 -1.30011                 -4.17491
-0.25566                 -1.05000                 -3.75764
0.70887                 -1.32605                 -7.33619
0.95081                 -2.61416                 -6.42675
1.17499                 -2.14292                 -5.10294
0.81754                 -2.65938                 -3.38800
-0.05143                 -1.97014                 -5.47803
0.02351                 -1.16288                 -6.76930
1.70072                 -3.09991                 -6.42679
1.32517                 -1.45650                 -5.85531
-0.08677                 -1.42913                 -4.22650
-0.28075                 -1.23480                 -3.53757
0.27907                 -2.57915                 -5.33847
1.17075                 -3.11542                 -4.19523
0.64083                 -2.08352                 -7.00948
-0.11559                 -1.48939                 -3.72448
0.20141                 -1.49627                 -4.52195
0.31232                 -2.52317                 -5.45584
0.33069                 -2.36265                 -4.39255
-0.03787                 -1.72936                 -2.24057
0.61059                 -2.72997                 -3.40650
-0.77858                 -1.30047                 -2.93229
-0.12817                 -2.48981                 -3.77474
-1.50282                 -1.82979                 -3.26507
0.26706                 -1.57899                 -3.06826
0.24222                 -2.55620                 -5.50055
-0.30200                 -1.18260                 -3.60786
-0.48527                 -1.60360                 -3.11472
-0.69501                 -1.73866                 -2.73027
0.19172                 -0.51080                 -3.78592
-0.66107                 -1.01435                 -4.03714
1.10091                 -2.05563                 -5.49993
0.11211                 -1.03093                 -4.18657
0.21855                 -1.93277                 -4.75545
0.03925                 -2.13862                 -4.74039
0.07418                 -1.54835                 -2.83201
-0.12968                 -2.63948                 -5.34259
-0.75115                  0.11828                 -3.45682
-0.20899                 -1.96690                 -3.14630
0.16658                 -1.67327                 -5.02196
0.40837                 -2.62352                 -1.84448
0.00199                 -1.80986                 -1.02404
-0.13702                 -0.73234                 -4.10501
0.12969                 -2.59943                 -2.64528
0.05119                 -2.68569                 -4.03632
-0.21775                 -2.02298                 -3.27917
-0.87003                 -1.14224                 -1.18158
-0.68545                 -1.19008                 -1.84905
-0.42943                 -1.49670                 -3.59917
-0.38006                 -0.42364                 -3.63482
-0.60310                 -2.31723                 -2.28715
-0.90452                 -1.22930                 -3.79019
-0.59183                 -0.61082                 -2.76060
-1.50102                  0.29215                 -1.47721
-1.16070                 -0.95393                 -2.11966
-1.01601                 -1.69105                 -1.00885
-1.13941                 -1.44397                 -0.81313
-0.71488                 -1.07870                 -0.83888
-0.46932                 -2.44838                 -3.16156
-0.67505                 -1.57670                 -1.80128
-0.80824                 -0.61074                 -1.95032
-0.18333                 -2.42479                 -0.87139
-1.51148                 -1.75054                  1.04757
-2.98740                 -1.96377                  1.29319
-1.31613                 -2.12066                  0.00010
-1.82565                 -0.14779                  0.02308
-1.18978                 -2.08330                  0.24781
-1.24507                 -1.72583                  1.74175
-2.83977                 -2.19723                  1.05878
-2.56073                 -1.34574                  1.13570
-1.33941                 -2.44278                 -0.50981
-1.94697                 -2.66209                  1.77518
-2.48285                 -1.87109                  3.76912
-1.53048                 -2.06134                  1.47741
-1.33268                 -1.24391                 -0.17960
