>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月13日0时0分0秒->2022年4月13日23时59分30秒
>>>>>>>>>>>>>> 测站 :KNTN
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
0.78274                 -2.25984                 -5.06491
1.16510                 -2.22797                 -5.56105
0.40719                 -2.56819                 -4.54230
0.56771                 -1.71378                 -4.34310
1.06327                 -1.40831                 -5.50883
0.99646                 -2.59951                 -5.85483
0.82816                 -2.69080                 -4.22466
-0.06083                 -1.76387                 -3.53978
-0.37412                 -1.64738                 -2.70109
0.31705                 -2.19052                 -5.92621
0.14878                 -2.77070                 -5.10681
0.55664                 -1.23217                 -4.95228
0.07297                 -1.70037                 -4.01196
1.04772                 -2.35126                 -4.29701
0.63549                 -2.10705                 -5.04945
0.91665                 -1.71414                 -4.61585
1.23083                 -1.43162                 -7.65460
0.89373                 -1.90531                 -6.27454
-0.26942                 -3.30628                 -4.15918
2.08728                 -3.44241                 -6.27944
1.56168                 -2.93092                 -7.58941
0.80280                 -2.02535                 -6.20721
0.60622                 -1.76592                 -4.01162
-0.13582                 -1.91166                 -2.84582
1.36398                 -2.27716                 -4.68903
-0.16690                 -1.38730                 -2.54644
0.25364                 -2.37152                 -4.12334
0.43322                 -2.38896                 -2.65054
-1.07632                 -1.19449                 -4.26390
0.65270                 -2.02624                 -4.78345
0.67811                 -1.34644                 -5.11322
0.08332                 -2.41742                 -4.06904
0.44158                 -2.39117                 -3.73195
0.29034                 -2.98736                 -3.44433
-1.18772                 -1.86423                 -1.18448
-0.69386                 -1.74086                 -2.42138
1.20620                 -2.49947                 -4.65759
0.72957                 -0.60098                 -4.47978
-0.35041                 -0.23855                 -2.90531
-0.23464                 -0.76400                  0.34715
0.02202                 -0.82288                 -4.10945
-0.23293                 -1.45139                 -3.20555
-0.01871                 -1.79322                 -4.51469
0.16525                 -2.06035                 -3.95052
-0.17783                 -1.84967                 -5.05113
-0.59743                 -1.07406                 -1.61320
0.38218                 -2.26141                 -3.56798
-0.97044                 -1.10121                 -3.08426
-0.33099                  0.01622                 -1.75556
-0.28597                 -2.14756                 -3.37495
-0.20536                 -0.96658                 -1.20360
-0.66700                 -0.76698                 -0.92313
0.09013                 -0.99122                 -4.75977
0.07527                 -1.63773                 -1.92904
-0.86275                 -1.55202                 -1.37686
